大分類,大分類名,中分類,中分類名,小分類,小分類名,細分類,細分類名
1,食品,11,加工食品,1108,缶詰,110801,水産缶詰（マグロ・カツオ以外）
1,食品,11,加工食品,1108,缶詰,110802,マグロ・カツオ缶詰
1,食品,11,加工食品,1108,缶詰,110803,野菜缶詰
1,食品,11,加工食品,1108,缶詰,110805,果実・デザート缶詰
1,食品,11,加工食品,1108,缶詰,110807,畜産缶詰
1,食品,11,加工食品,1110,粉類,111001,小麦粉
1,食品,11,加工食品,1110,粉類,111003,天ぷら粉
1,食品,11,加工食品,1110,粉類,111005,パン粉
1,食品,11,加工食品,1110,粉類,111007,唐揚げ粉類
1,食品,11,加工食品,1110,粉類,111009,片栗粉
1,食品,11,加工食品,1110,粉類,111011,きな粉
1,食品,11,加工食品,1110,粉類,111015,米粉
1,食品,11,加工食品,1111,ホームメーキング材料,111101,プレミックス
1,食品,11,加工食品,1111,ホームメーキング材料,111105,蜂蜜
1,食品,11,加工食品,1111,ホームメーキング材料,111107,水飴
1,食品,11,加工食品,1111,ホームメーキング材料,111109,シロップ
1,食品,11,加工食品,1111,ホームメーキング材料,111111,生地・皮
1,食品,11,加工食品,1111,ホームメーキング材料,111113,デザートの素
1,食品,11,加工食品,1112,麺類,111201,インスタント袋麺
1,食品,11,加工食品,1112,麺類,111203,カップ麺
1,食品,11,加工食品,1112,麺類,111205,乾麺
1,食品,11,加工食品,1112,麺類,111207,生麺・ゆで麺
1,食品,11,加工食品,1112,麺類,111209,スパゲッティ
1,食品,11,加工食品,1112,麺類,111211,マカロニ
1,食品,11,加工食品,1113,パン・シリアル類,111301,食パン
1,食品,11,加工食品,1113,パン・シリアル類,111303,菓子パン
1,食品,11,加工食品,1113,パン・シリアル類,111305,調理パン
1,食品,11,加工食品,1113,パン・シリアル類,111307,シリアル類
1,食品,11,加工食品,1114,穀物,111401,米
1,食品,11,加工食品,1114,穀物,111405,包装餅
1,食品,11,加工食品,1115,加工肉類,111501,畜肉ハム
1,食品,11,加工食品,1115,加工肉類,111503,畜肉ソーセージ
1,食品,11,加工食品,1115,加工肉類,111505,魚肉ハム
1,食品,11,加工食品,1115,加工肉類,111507,魚肉ソーセージ
1,食品,11,加工食品,1115,加工肉類,111509,焼き豚
1,食品,11,加工食品,1115,加工肉類,111511,ベーコン
1,食品,11,加工食品,1116,練り製品,111601,蒲鉾
1,食品,11,加工食品,1116,練り製品,111603,竹輪
1,食品,11,加工食品,1116,練り製品,111605,はんぺん
1,食品,11,加工食品,1116,練り製品,111607,揚げ物
1,食品,11,加工食品,1117,漬物・佃煮,111701,漬物
1,食品,11,加工食品,1117,漬物・佃煮,111703,佃煮
1,食品,11,加工食品,1117,漬物・佃煮,111705,いりぬか・漬け物の素
1,食品,11,加工食品,1118,水物,111801,豆腐
1,食品,11,加工食品,1118,水物,111803,コンニャク
1,食品,11,加工食品,1118,水物,111805,油揚げ
1,食品,11,加工食品,1118,水物,111807,納豆
1,食品,11,加工食品,1119,惣菜類,111901,サラダ
1,食品,11,加工食品,1119,惣菜類,111903,煮豆
1,食品,11,加工食品,1119,惣菜類,111905,和惣菜
1,食品,11,加工食品,1119,惣菜類,111907,中華惣菜
1,食品,11,加工食品,1119,惣菜類,111909,洋惣菜
1,食品,11,加工食品,1120,農産乾物,112001,ゴマ
1,食品,11,加工食品,1120,農産乾物,112003,干し椎茸
1,食品,11,加工食品,1120,農産乾物,112005,豆類
1,食品,11,加工食品,1121,加工水産,112101,のり
1,食品,11,加工食品,1121,加工水産,112105,わかめ
1,食品,11,加工食品,1121,加工水産,112107,昆布
1,食品,11,加工食品,1121,加工水産,112111,削り節・かつお節
1,食品,11,加工食品,1121,加工水産,112113,煮干
1,食品,11,加工食品,1197,その他加工食品,119701,農産加工品
1,食品,11,加工食品,1197,その他加工食品,119703,水産加工品
1,食品,11,加工食品,1197,その他加工食品,119705,畜産加工品
1,食品,13,菓子類,1301,菓子,130121,キャンディ・キャラメル
1,食品,13,菓子類,1301,菓子,130123,チョコレ?ト
1,食品,13,菓子類,1301,菓子,130125,チュ?インガム
1,食品,13,菓子類,1301,菓子,130127,ビスケット・クッキ?
1,食品,13,菓子類,1301,菓子,130129,米菓
1,食品,13,菓子類,1301,菓子,130131,スナック
1,食品,13,菓子類,1301,菓子,130133,豆菓子
1,食品,13,菓子類,1301,菓子,130135,玩具菓子
1,食品,13,菓子類,1301,菓子,130137,生菓子
1,食品,13,菓子類,1301,菓子,130139,半生菓子
1,食品,13,菓子類,1301,菓子,130141,焼菓子・油菓子
1,食品,13,菓子類,1301,菓子,130143,菓子セット
1,食品,13,菓子類,1302,デザート・ヨーグルト,130203,デザート類
1,食品,13,菓子類,1302,デザート・ヨーグルト,130205,ヨーグルト
1,食品,13,菓子類,1303,珍味,130301,農産珍味
1,食品,13,菓子類,1303,珍味,130303,水産珍味
1,食品,13,菓子類,1303,珍味,130305,畜産珍味
1,食品,13,菓子類,1304,アイスクリーム類,130401,プレミアムアイス
1,食品,13,菓子類,1304,アイスクリーム類,130403,ファミリーアイス
1,食品,14,飲料・酒類,1401,嗜好飲料,140101,インスタントコーヒー
1,食品,14,飲料・酒類,1401,嗜好飲料,140103,レギュラーコーヒー
1,食品,14,飲料・酒類,1401,嗜好飲料,140105,ココア
1,食品,14,飲料・酒類,1401,嗜好飲料,140107,紅茶
1,食品,14,飲料・酒類,1401,嗜好飲料,140109,日本茶
1,食品,14,飲料・酒類,1401,嗜好飲料,140111,麦茶
1,食品,14,飲料・酒類,1401,嗜好飲料,140113,中国茶
1,食品,14,飲料・酒類,1402,果実飲料,140201,果汁１００％飲料
1,食品,14,飲料・酒類,1402,果実飲料,140203,果汁飲料
1,食品,14,飲料・酒類,1402,果実飲料,140205,果肉飲料
1,食品,14,飲料・酒類,1402,果実飲料,140209,野菜ジュース
1,食品,14,飲料・酒類,1402,果実飲料,140211,トマトジュース
1,食品,14,飲料・酒類,1403,清涼飲料,140301,コーラ
1,食品,14,飲料・酒類,1403,清涼飲料,140305,炭酸フレーバー
1,食品,14,飲料・酒類,1403,清涼飲料,140307,コーヒードリンク
1,食品,14,飲料・酒類,1403,清涼飲料,140309,ココアドリンク
1,食品,14,飲料・酒類,1403,清涼飲料,140311,紅茶ドリンク
1,食品,14,飲料・酒類,1403,清涼飲料,140313,日本茶・麦茶ドリンク
1,食品,14,飲料・酒類,1403,清涼飲料,140315,中国茶ドリンク
1,食品,14,飲料・酒類,1403,清涼飲料,140317,水
1,食品,14,飲料・酒類,1403,清涼飲料,140321,炭酸水
1,食品,14,飲料・酒類,1403,清涼飲料,140323,スポーツドリンク
1,食品,14,飲料・酒類,1403,清涼飲料,140325,栄養ドリンク
1,食品,14,飲料・酒類,1403,清涼飲料,140327,ビネガードリンク
1,食品,14,飲料・酒類,1404,乳飲料,140401,牛乳
1,食品,14,飲料・酒類,1404,乳飲料,140403,豆乳
1,食品,14,飲料・酒類,1404,乳飲料,140405,乳酸飲料
1,食品,14,飲料・酒類,1404,乳飲料,140407,乳酸菌飲料
1,食品,14,飲料・酒類,1406,アルコール飲料,140601,清酒
1,食品,14,飲料・酒類,1406,アルコール飲料,140611,合成清酒
1,食品,14,飲料・酒類,1406,アルコール飲料,140621,焼酎（甲類）
1,食品,14,飲料・酒類,1406,アルコール飲料,140623,焼酎（乙類）
1,食品,14,飲料・酒類,1406,アルコール飲料,140631,みりん
1,食品,14,飲料・酒類,1406,アルコール飲料,140641,ビール
1,食品,14,飲料・酒類,1406,アルコール飲料,140651,果実酒
1,食品,14,飲料・酒類,1406,アルコール飲料,140653,甘味果実酒
1,食品,14,飲料・酒類,1406,アルコール飲料,140661,ウイスキー
1,食品,14,飲料・酒類,1406,アルコール飲料,140663,ブランデー
1,食品,14,飲料・酒類,1406,アルコール飲料,140671,スピリッツ
1,食品,14,飲料・酒類,1406,アルコール飲料,140681,リキュール類
1,食品,14,飲料・酒類,1406,アルコール飲料,140691,発泡酒
1,食品,14,飲料・酒類,1407,酒類を含むセット商品,140701,酒類を含むセット商品
1,食品,19,その他食品,1901,乳幼児食品,190101,育児用ミルク
1,食品,19,その他食品,1901,乳幼児食品,190103,ベビーフード
1,食品,19,その他食品,1902,健康食品,190201,健康食品
1,食品,19,その他食品,1902,健康食品,190203,妊産婦用食品
1,食品,19,その他食品,1903,食品贈答品,190301,食品贈答品
1,食品,19,その他食品,1997,その他食品,199701,たばこ
2,日用品,21,日用雑貨,2121,口中衛生用品,212101,歯磨き
2,日用品,21,日用雑貨,2121,口中衛生用品,212103,歯ブラシ
2,日用品,21,日用雑貨,2121,口中衛生用品,212105,洗口液
2,日用品,21,日用雑貨,2121,口中衛生用品,212107,口中清涼剤
2,日用品,21,日用雑貨,2121,口中衛生用品,212109,デンタル用品
2,日用品,21,日用雑貨,2121,口中衛生用品,212111,義歯用品
2,日用品,21,日用雑貨,2122,石鹸類,212201,化粧石鹸
2,日用品,21,日用雑貨,2122,石鹸類,212203,ハンドソープ
2,日用品,21,日用雑貨,2122,石鹸類,212205,ボディシャンプー・リンス
2,日用品,21,日用雑貨,2122,石鹸類,212207,入浴剤
2,日用品,21,日用雑貨,2123,衛生紙用品・用具,212301,ティッシュペーパー
2,日用品,21,日用雑貨,2123,衛生紙用品・用具,212303,ペーパーハンドタオル・用具
2,日用品,21,日用雑貨,2123,衛生紙用品・用具,212305,ウェットティッシュ
2,日用品,21,日用雑貨,2123,衛生紙用品・用具,212307,トイレットペーパー
2,日用品,21,日用雑貨,2123,衛生紙用品・用具,212309,京花紙・ちり紙
2,日用品,21,日用雑貨,2123,衛生紙用品・用具,212311,生理用品・用具
2,日用品,21,日用雑貨,2123,衛生紙用品・用具,212313,軽失禁用品・用具
2,日用品,21,日用雑貨,2124,介護用品・用具,212401,大人用オムツ
2,日用品,21,日用雑貨,2124,介護用品・用具,212403,大人用衛生用品
2,日用品,21,日用雑貨,2125,育児用品・用具,212501,ベビー用オムツ
2,日用品,21,日用雑貨,2125,育児用品・用具,212505,ベビー用スキンケア
2,日用品,21,日用雑貨,2125,育児用品・用具,212507,ベビー用衛生用品・用具
2,日用品,21,日用雑貨,2125,育児用品・用具,212511,ベビー用ヘルスケア
2,日用品,21,日用雑貨,2125,育児用品・用具,212513,授乳用品・用具
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212601,綿棒
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212603,包帯
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212605,ガーゼ
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212607,脱脂綿
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212609,救急絆創膏
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212611,固定テープ・巻絆創膏
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212615,サポーター
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212617,マスク
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212619,避妊用品
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212621,飲薬補助用品・用具
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212623,コンタクトレンズ用剤・用具
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212625,目・鼻・耳ケア用品・用具
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212627,フットケア用品・用具
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212629,ハサミ・ピンセット
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212631,体温計
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212633,血圧計
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212635,ヘルスメーター
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212637,肩こり・腰痛ケア用品・用具
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212639,使い捨てカイロ
2,日用品,21,日用雑貨,2126,衛生医療用品・用具,212641,熱冷却用品・用具
2,日用品,21,日用雑貨,2127,衣料用洗剤類,212701,衣料用合成洗剤
2,日用品,21,日用雑貨,2127,衣料用洗剤類,212703,洗濯用石鹸
2,日用品,21,日用雑貨,2127,衣料用洗剤類,212705,ライト系洗剤
2,日用品,21,日用雑貨,2127,衣料用洗剤類,212707,漂白剤
2,日用品,21,日用雑貨,2127,衣料用洗剤類,212709,柔軟剤
2,日用品,21,日用雑貨,2127,衣料用洗剤類,212711,仕上げ剤
2,日用品,21,日用雑貨,2127,衣料用洗剤類,212713,衣料用処理剤
2,日用品,21,日用雑貨,2127,衣料用洗剤類,212715,染料
2,日用品,21,日用雑貨,2128,台所・食器用洗剤類,212801,台所用洗剤
2,日用品,21,日用雑貨,2128,台所・食器用洗剤類,212803,台所用クレンザー
2,日用品,21,日用雑貨,2128,台所・食器用洗剤類,212805,台所用漂白剤
2,日用品,21,日用雑貨,2128,台所・食器用洗剤類,212807,廃油処理剤
2,日用品,21,日用雑貨,2128,台所・食器用洗剤類,212809,台所用除菌・消臭剤
2,日用品,21,日用雑貨,2129,住居用洗剤類,212901,住居用洗剤
2,日用品,21,日用雑貨,2129,住居用洗剤類,212903,トイレ用洗剤
2,日用品,21,日用雑貨,2129,住居用洗剤類,212905,バス用洗剤
2,日用品,21,日用雑貨,2129,住居用洗剤類,212907,ガラス用洗剤
2,日用品,21,日用雑貨,2129,住居用洗剤類,212909,畳・カーペットクリーナー
2,日用品,21,日用雑貨,2129,住居用洗剤類,212911,パイプ・風呂釜クリーナー
2,日用品,21,日用雑貨,2129,住居用洗剤類,212913,カビ防止剤・カビ取り剤
2,日用品,21,日用雑貨,2129,住居用洗剤類,212915,換気扇・レンジクリーナー
2,日用品,21,日用雑貨,2129,住居用洗剤類,212917,使い捨て紙クリーナー類
2,日用品,21,日用雑貨,2129,住居用洗剤類,212919,電気製品用クリーナー
2,日用品,21,日用雑貨,2130,家庭用つや出し・ワックス剤,213001,住居用ワックス
2,日用品,21,日用雑貨,2130,家庭用つや出し・ワックス剤,213003,靴墨・靴用クリーム
2,日用品,21,日用雑貨,2131,芳香・消臭剤,213101,トイレ用芳香・消臭・防臭剤
2,日用品,21,日用雑貨,2131,芳香・消臭剤,213103,室内用芳香・消臭・防臭剤
2,日用品,21,日用雑貨,2131,芳香・消臭剤,213105,水洗トイレ用タンククリーナー
2,日用品,21,日用雑貨,2131,芳香・消臭剤,213107,脱臭剤
2,日用品,21,日用雑貨,2132,防虫・除湿・乾燥剤,213201,防虫剤
2,日用品,21,日用雑貨,2132,防虫・除湿・乾燥剤,213203,除湿・乾燥剤
2,日用品,21,日用雑貨,2133,殺虫剤,213301,殺虫剤
2,日用品,21,日用雑貨,2133,殺虫剤,213303,蚊取り線香
2,日用品,21,日用雑貨,2133,殺虫剤,213305,蚊取りマット・リキッド
2,日用品,21,日用雑貨,2133,殺虫剤,213307,電子蚊取り器
2,日用品,21,日用雑貨,2133,殺虫剤,213309,ゴキブリ捕獲器
2,日用品,21,日用雑貨,2133,殺虫剤,213311,虫よけ剤・虫よけ器
2,日用品,21,日用雑貨,2198,その他日用雑貨,219801,浄水剤
2,日用品,22,ＯＴＣ医薬品類,2211,精神神経用薬,221101,解熱鎮痛薬
2,日用品,22,ＯＴＣ医薬品類,2211,精神神経用薬,221103,かぜ薬
2,日用品,22,ＯＴＣ医薬品類,2211,精神神経用薬,221105,鎮静薬・催眠鎮静薬
2,日用品,22,ＯＴＣ医薬品類,2211,精神神経用薬,221107,眠気防止剤
2,日用品,22,ＯＴＣ医薬品類,2211,精神神経用薬,221109,小児鎮静薬（小児五疳薬）
2,日用品,22,ＯＴＣ医薬品類,2211,精神神経用薬,221111,睡眠改善薬
2,日用品,22,ＯＴＣ医薬品類,2212,呼吸器官用薬,221201,鎮咳去たん薬
2,日用品,22,ＯＴＣ医薬品類,2212,呼吸器官用薬,221203,うがい薬
2,日用品,22,ＯＴＣ医薬品類,2213,循環器官用薬,221301,強心薬
2,日用品,22,ＯＴＣ医薬品類,2213,循環器官用薬,221303,高コレステロール低下薬
2,日用品,22,ＯＴＣ医薬品類,2213,循環器官用薬,221305,貧血用薬
2,日用品,22,ＯＴＣ医薬品類,2214,消化器官用薬,221401,胃腸薬
2,日用品,22,ＯＴＣ医薬品類,2214,消化器官用薬,221403,整腸薬
2,日用品,22,ＯＴＣ医薬品類,2214,消化器官用薬,221405,止しゃ薬（下痢止め）
2,日用品,22,ＯＴＣ医薬品類,2214,消化器官用薬,221407,胃腸鎮痛鎮痙薬
2,日用品,22,ＯＴＣ医薬品類,2214,消化器官用薬,221409,浣腸薬
2,日用品,22,ＯＴＣ医薬品類,2214,消化器官用薬,221411,便秘薬
2,日用品,22,ＯＴＣ医薬品類,2214,消化器官用薬,221413,駆虫薬
2,日用品,22,ＯＴＣ医薬品類,2215,アレルギー用薬,221501,内服アレルギー用薬
2,日用品,22,ＯＴＣ医薬品類,2216,感覚器官用薬,221601,目薬
2,日用品,22,ＯＴＣ医薬品類,2216,感覚器官用薬,221603,鼻炎用薬
2,日用品,22,ＯＴＣ医薬品類,2216,感覚器官用薬,221605,乗物酔い薬
2,日用品,22,ＯＴＣ医薬品類,2217,歯科口腔用薬,221701,口腔咽喉薬
2,日用品,22,ＯＴＣ医薬品類,2217,歯科口腔用薬,221703,口内炎用薬
2,日用品,22,ＯＴＣ医薬品類,2217,歯科口腔用薬,221705,歯痛・歯槽膿漏薬
2,日用品,22,ＯＴＣ医薬品類,2218,肛門用薬,221801,痔疾用薬
2,日用品,22,ＯＴＣ医薬品類,2219,外皮用薬,221901,外用殺菌消毒薬
2,日用品,22,ＯＴＣ医薬品類,2219,外皮用薬,221903,化膿性皮膚疾患用薬
2,日用品,22,ＯＴＣ医薬品類,2219,外皮用薬,221905,にきび治療薬
2,日用品,22,ＯＴＣ医薬品類,2219,外皮用薬,221907,外用鎮痛・消炎薬（貼付・塗布薬）
2,日用品,22,ＯＴＣ医薬品類,2219,外皮用薬,221909,外用湿疹・皮膚炎用薬
2,日用品,22,ＯＴＣ医薬品類,2219,外皮用薬,221911,かゆみ・虫さされ用薬
2,日用品,22,ＯＴＣ医薬品類,2219,外皮用薬,221913,しもやけ・あかぎれ用薬
2,日用品,22,ＯＴＣ医薬品類,2219,外皮用薬,221915,水虫・たむし用薬
2,日用品,22,ＯＴＣ医薬品類,2219,外皮用薬,221917,皮膚軟化薬（乾燥性皮膚用薬）
2,日用品,22,ＯＴＣ医薬品類,2219,外皮用薬,221919,うおのめ・たこ・いぼ用薬
2,日用品,22,ＯＴＣ医薬品類,2219,外皮用薬,221921,発毛・養毛薬
2,日用品,22,ＯＴＣ医薬品類,2219,外皮用薬,221923,シラミ駆除用薬
2,日用品,22,ＯＴＣ医薬品類,2219,外皮用薬,221925,絆創膏
2,日用品,22,ＯＴＣ医薬品類,2220,女性用薬,222001,女性用保健薬
2,日用品,22,ＯＴＣ医薬品類,2220,女性用薬,222005,膣カンジタ用薬
2,日用品,22,ＯＴＣ医薬品類,2221,ドリンク剤,222101,ドリンク剤
2,日用品,22,ＯＴＣ医薬品類,2221,ドリンク剤,222103,ミニドリンク剤
2,日用品,22,ＯＴＣ医薬品類,2222,ビタミン主薬製剤,222205,ビタミンＥ主薬製剤
2,日用品,22,ＯＴＣ医薬品類,2222,ビタミン主薬製剤,222207,ビタミンＢ１主薬製剤
2,日用品,22,ＯＴＣ医薬品類,2222,ビタミン主薬製剤,222209,ビタミンＢ２主薬製剤
2,日用品,22,ＯＴＣ医薬品類,2222,ビタミン主薬製剤,222213,ビタミンＢ１２主薬製剤
2,日用品,22,ＯＴＣ医薬品類,2222,ビタミン主薬製剤,222215,ビタミンＣ主薬製剤
2,日用品,22,ＯＴＣ医薬品類,2222,ビタミン主薬製剤,222217,ビタミンＡＤ主薬製剤
2,日用品,22,ＯＴＣ医薬品類,2222,ビタミン主薬製剤,222219,ビタミンＢ２Ｂ６主薬製剤
2,日用品,22,ＯＴＣ医薬品類,2222,ビタミン主薬製剤,222221,ビタミンＥＣ主薬製剤
2,日用品,22,ＯＴＣ医薬品類,2222,ビタミン主薬製剤,222223,ビタミンＢ１Ｂ６Ｂ１２主薬製剤
2,日用品,22,ＯＴＣ医薬品類,2223,ビタミン含有保健薬,222301,ビタミン含有保健薬
2,日用品,22,ＯＴＣ医薬品類,2224,その他の保健薬,222401,カルシウム主薬製剤
2,日用品,22,ＯＴＣ医薬品類,2224,その他の保健薬,222403,生薬主薬保健薬
2,日用品,22,ＯＴＣ医薬品類,2224,その他の保健薬,222405,薬用酒
2,日用品,22,ＯＴＣ医薬品類,2225,禁煙補助薬,222501,禁煙補助薬
2,日用品,22,ＯＴＣ医薬品類,2226,漢方薬・生薬製剤,222601,漢方薬１（あ行）
2,日用品,22,ＯＴＣ医薬品類,2226,漢方薬・生薬製剤,222602,漢方薬２（か行）
2,日用品,22,ＯＴＣ医薬品類,2226,漢方薬・生薬製剤,222603,漢方薬３（さ行）
2,日用品,22,ＯＴＣ医薬品類,2226,漢方薬・生薬製剤,222604,漢方薬４（た行）
2,日用品,22,ＯＴＣ医薬品類,2226,漢方薬・生薬製剤,222606,漢方薬６（は行）
2,日用品,22,ＯＴＣ医薬品類,2226,漢方薬・生薬製剤,222607,漢方薬７（ま行）
2,日用品,22,ＯＴＣ医薬品類,2226,漢方薬・生薬製剤,222608,漢方薬８（や?ら行）
2,日用品,22,ＯＴＣ医薬品類,2226,漢方薬・生薬製剤,222609,生薬製剤
2,日用品,22,ＯＴＣ医薬品類,2227,公衆衛生用薬,222701,殺虫薬
2,日用品,22,ＯＴＣ医薬品類,2227,公衆衛生用薬,222703,虫よけ薬
2,日用品,22,ＯＴＣ医薬品類,2228,一般用検査薬,222801,一般用検査薬
2,日用品,22,ＯＴＣ医薬品類,2241,かぜ関連（指定医薬部外品）,224101,鼻づまり改善（指定医薬部外品）
2,日用品,22,ＯＴＣ医薬品類,2241,かぜ関連（指定医薬部外品）,224103,のど清涼（指定医薬部外品）
2,日用品,22,ＯＴＣ医薬品類,2241,かぜ関連（指定医薬部外品）,224105,うがい（指定医薬部外品）
2,日用品,22,ＯＴＣ医薬品類,2242,胃腸関連（指定医薬部外品）,224201,健胃・消化（指定医薬部外品）
2,日用品,22,ＯＴＣ医薬品類,2242,胃腸関連（指定医薬部外品）,224203,整腸（指定医薬部外品）
2,日用品,22,ＯＴＣ医薬品類,2242,胃腸関連（指定医薬部外品）,224205,便秘（指定医薬部外品）
2,日用品,22,ＯＴＣ医薬品類,2243,目・鼻・口・のど関連（指定医薬部外品）,224301,コンタクトレンズ装着（指定医薬部外品）
2,日用品,22,ＯＴＣ医薬品類,2243,目・鼻・口・のど関連（指定医薬部外品）,224305,口・のど（指定医薬部外品）
2,日用品,22,ＯＴＣ医薬品類,2244,皮ふ関連（指定医薬部外品）,224401,殺菌消毒（指定医薬部外品）
2,日用品,22,ＯＴＣ医薬品類,2244,皮ふ関連（指定医薬部外品）,224405,ひび・しもやけ・あかぎれ（指定医薬部外品
2,日用品,22,ＯＴＣ医薬品類,2244,皮ふ関連（指定医薬部外品）,224407,かさつき・あれ（指定医薬部外品）
2,日用品,22,ＯＴＣ医薬品類,2244,皮ふ関連（指定医薬部外品）,224409,うおのめ・たこ（指定医薬部外品）
2,日用品,22,ＯＴＣ医薬品類,2245,滋養強壮関連（指定医薬部外品）,224501,ドリンク剤（指定医薬部外品）
2,日用品,22,ＯＴＣ医薬品類,2245,滋養強壮関連（指定医薬部外品）,224503,ミニドリンク剤（指定医薬部外品）
2,日用品,22,ＯＴＣ医薬品類,2245,滋養強壮関連（指定医薬部外品）,224507,ビタミンＣ（指定医薬部外品）
2,日用品,22,ＯＴＣ医薬品類,2245,滋養強壮関連（指定医薬部外品）,224511,ビタミン含有の滋養強壮（指定医薬部外品）
2,日用品,22,ＯＴＣ医薬品類,2245,滋養強壮関連（指定医薬部外品）,224513,カルシウム（指定医薬部外品）
2,日用品,22,ＯＴＣ医薬品類,2245,滋養強壮関連（指定医薬部外品）,224515,生薬主薬保健薬（指定医薬部外品）
2,日用品,22,ＯＴＣ医薬品類,2261,処方せん医薬品,226101,処方せん医薬品
2,日用品,22,ＯＴＣ医薬品類,2263,局方品,226301,局方品
